State,Action,NextState
[1.32611016 2.05822979],1.9603024,[1.48010692 3.07993519]
[1.48010692 3.07993519],1.9999738,[1.68644938 4.12684916]
[1.68644938 4.12684916],2.0,[1.94504132 5.17183888]
[1.94504132 5.17183888],2.0,[2.25353766 6.1699268 ]
[2.25353766 6.1699268 ],2.0,[2.60612823 7.05181135]
[2.60612823 7.05181135],2.0,[2.99285282 7.73449174]
[2.99285282 7.73449174],2.0,[3.39285282 8.        ]
[3.39285282 8.        ],1.9999251,[3.79285282 8.        ]
[3.79285282 8.        ],-1.999965,[4.15512099 7.24536342]
[4.15512099 7.24536342],-1.9999998,[4.47056279 6.30883609]
[4.47056279 6.30883609],-1.9999738,[4.73459596 5.28066332]
[4.73459596 5.28066332],-1.9903628,[4.94621065 4.23229383]
[4.94621065 4.23229383],0.8077276,[5.12740375 3.62386194]
[5.12740375 3.62386194],1.0413775,[5.28209054 3.0937358 ]
[5.28209054 3.0937358 ],1.0517435,[5.41308808 2.61995084]
[5.41308808 2.61995084],0.99384,[5.52287474 2.19573311]
[5.52287474 2.19573311],1.1151137,[5.61518175 1.84614028]
[5.61518175 1.84614028],1.2943454,[5.69396811 1.57572716]
[5.69396811 1.57572716],1.4916496,[5.7631027  1.38269181]
[5.7631027  1.38269181],1.3190365,[5.82349437 1.20783342]
[5.82349437 1.20783342],1.2653573,[5.87673855 1.06488365]
[5.87673855 1.06488365],1.0125978,[5.92275167 0.92026227]
[5.92275167 0.92026227],0.9385519,[5.96257842 0.79653502]
[5.96257842 0.79653502],0.8990991,[5.99733056 0.69504295]
[5.99733056 0.69504295],0.7143452,[6.02686614 0.59071152]
[6.02686614 0.59071152],0.6628237,[6.05186583 0.4999938 ]
[6.05186583 0.4999938 ],0.645905,[6.07311248 0.42493301]
[6.07311248 0.42493301],0.68866825,[6.09170423 0.3718349 ]
[6.09170423 0.3718349 ],0.69705963,[6.10838718 0.33365901]
[6.10838718 0.33365901],0.6672642,[6.12355301 0.30331663]
[6.12355301 0.30331663],0.6468303,[6.13760925 0.28112479]
[6.13760925 0.28112479],0.6176524,[6.15085804 0.26497584]
[6.15085804 0.26497584],0.5762882,[6.16348119 0.252463  ]
[6.16348119 0.252463  ],0.52601194,[6.17557124 0.24180096]
[6.17557124 0.24180096],0.44399285,[6.18696349 0.22784503]
[6.18696349 0.22784503],0.36112475,[6.19746142 0.20995869]
[6.19746142 0.20995869],0.21111917,[6.20633204 0.17741236]
[6.20633204 0.17741236],0.36363554,[6.21505076 0.17437447]
[6.21505076 0.17437447],-0.06484091,[6.22073011 0.11358696]
[6.22073011 0.11358696],0.47245955,[6.22761236 0.13764494]
[6.22761236 0.13764494],-0.07826173,[6.23182473 0.08424742]
[6.23182473 0.08424742],0.44569921,[6.23745467 0.1125988 ]
[6.23745467 0.1125988 ],-0.18708086,[6.2399672  0.05025065]
[3.08821182 0.32694128],2.0,[3.12155972 0.6669579 ]
